full_name,has_rego,has_sentinel,has_pulumi,has_cedar,has_kyverno,has_custodian,has_awsconfigcloudgaurd,has_opagatekeeper
amalagoli79/senai-turma-full-stack,False,True,False,False,False,False,False,False
amalagoli79/turmaOi,False,True,False,False,False,False,False,False
aman-vr/BooksData-CRUD-API,False,True,False,False,False,False,False,False
ambaumann/summit-toy-2020,True,False,False,False,False,False,False,False
amber-beasley-liatrio/learning-actions,True,False,False,False,False,False,False,False
amcbarnett/hashistack-aws-chad,False,True,False,False,False,False,False,False
ameydev/opa-use-cases,True,False,False,False,False,False,False,False
ameytriage/testlea-mirror,True,False,False,False,False,False,False,False
aminelaabi/sentinel_policies,False,True,False,False,False,False,False,False
amkumar1nav/hasicorp-certified-terraform-associate,False,True,False,False,False,False,False,False
ammar4216/Contour-Bootcamp-.NET,False,True,False,False,False,False,False,False
amohitt/my_project,True,False,False,False,False,False,False,False
amorduno/WebNetMentoringProject,False,True,False,False,False,False,False,False
amrit-chahal/az-204,False,True,False,False,False,False,False,False
amzdevsam/dotnetAngularFromScratch,False,True,False,False,False,False,False,False
anaik91/sentinel-policies,False,True,False,False,False,False,False,False
anakrish/rego-compare,True,False,False,False,False,False,False,False
anakrish/rego-experiments,True,False,False,False,False,False,False,False
analacatusu/Central-Line-Insertion-Training-with-AR,False,True,False,False,False,False,False,False
anamariapanait10/FMI-BS-Resources,False,True,False,False,False,False,False,False
anandaraop/hashicorp-certified-terraform-associate,False,True,False,False,False,False,False,False
anastasiatrushchak/pma_23_second,False,True,False,False,False,False,False,False
anderseknert/aws-opa-infra,True,False,False,False,False,False,False,False
anderseknert/opa-data-schema,True,False,False,False,False,False,False,False
anderseknert/opa-kasten-example,True,False,False,False,False,False,False,False
anderseknert/opa-policy-composition,True,False,False,False,False,False,False,False
anderseknert/opa-sign-verify,True,False,False,False,False,False,False,False
anderseknert/policies,True,False,False,False,False,False,False,False
anderseknert/policy-lab,True,False,False,False,False,False,False,False
anderseknert/setup-regal-demo,True,False,False,False,False,False,False,False
